prompt_A,prompt_B,cosine_similarity
A gentle stream flowing over smooth rocks in a forest,A delicate creek streaming over smooth pebbles amid a forest,0.90313154
Bustling city street with car horns and people talking,Busy metropolis avenue alongside conveyance warning sounds as well as folk dialoguing,0.69670534
Rain pattering on a tin roof during a thunderstorm,Storm hitting over a galvanized metal roof throughout a thunderstorm,0.78694034
Crackling campfire with occasional pops and hisses,Snapping fire including occasional pops together with hisses,0.8202379
Wind chimes swaying in a light breeze on a porch,Zephyr chimes wavering throughout a light breeze covering a porch,0.8514053
Waves crashing on a rocky shoreline at sunset,Waves colliding on a rocky seaboard in the course of sundown,0.83621484
Orchestra warming up before a classical concert,Orchestra gearing up prior to a classical concert,0.8971781
Children playing in a playground with laughter and shouts,Juveniles engaging within a play area accompanied by laughter plus hollers,0.7558385
Creaking floorboards in an old abandoned house,Creaking wooden floors throughout an old forsaken house,0.83894104
Helicopter flying overhead gradually fading into distance,Helicopter flying above ground gradually fading heading to distance,0.9207959
Birds chirping in a spring morning garden,Birds singing among a spring morning garden,0.9249219
Coffee shop ambience with quiet conversations and espresso machine,Coffee shop ambience together with subdued conversations in addition to espresso contrivance,0.6758367
Typewriter keys clacking rapidly with occasional bell ring,Typewriter keys clacking rapidly with random bell ring,0.9619913
"Thunder rumbling in the distance, slowly approaching","Thunder rumbling throughout the distance, slowly approaching",0.9696424
Cat purring while sleeping on a windowsill,Cat purring while sleeping across a windowsill,0.97330856
Sand crunching underfoot on a desert walk,Sand crunching underfoot upon a desert walk,0.97774273
Wind howling through a narrow mountain pass,Draft howling throughout a narrow mountain pass,0.88137144
Submarine sonar pings in deep ocean waters,Submarine sonar pings among profound marine environment waters,0.92303956
Pages of a book being slowly turned in a quiet library,Pages of a book being slowly turned in a quiet library,0.9999999
Stadium crowd cheering after a goal or touchdown,Stadium multitude cheering after a goal or touchdown,0.9444457
Glass breaking as it hits a hard floor,Glass breaking as it hits a hard floor,1.0
Grandfather clock ticking and chiming at midnight,Grandfather timer sounding as well as chiming for midnight,0.809003
Rain forest ambience with exotic bird calls and insects,Rain forest ambience plus exotic bird calls together with insects,0.9208704
Busy restaurant with dishes clattering and background chatter,Teeming food venue with dishes clattering and background chatter,0.9068625
Horse galloping across an open field,Horse galloping across an open field,1.0
Spaceship engine humming at a constant frequency,Spaceship powerplant buzzing at a constant frequency,0.8843936
Train passing by with whistle blowing,Metro passing by featuring whistle blowing,0.81736994
Saxophone solo in a smoky jazz club,Saxophone solo within a smoky jazz club,0.9731089
Whispering voices in an empty corridor,Whispering voices in an empty corridor,1.0000001
Crackling radio static with occasional voice fragments,Sparking radio static with occasional voice fragments,0.9545225
Bubbling brook with birds singing in background,Bubbling brook featuring feathered creatures singing throughout background,0.8944199
Whale song echoing through ocean depths,Whale song echoing across waters depths,0.9488134
Laser gun battle with energy weapons firing,Laser gun battle with energy weapons firing,1.0000001
Heartbeat monitor beeping steadily in hospital room,Heartbeat monitor beeping steadily among hospital room,0.963791
Creaky wooden ship rocking on gentle waves,Unstable wooden ship rocking atop soft swells,0.7934563
Howling wolf in a moonlit forest,Howling wolf in a moonlit forest,1.0000001
Typing on a mechanical keyboard with clicky switches,Typing covering a mechanical key interface plus clicky switches,0.828679
Old vinyl record with crackling and pops,Historic vinyl record alongside crinkling and snaps,0.8173828
Sizzling food on a hot grill or pan,Sizzling food on a hot grill or pan,1.0000001
Church bells ringing in a distant village,Church bells resounding within a faint village,0.88483983
Morning alarm clock ringing persistently,Morning danger signal horologe clanging persistently,0.736697
Helicopter blades whirring during takeoff,Rotary aircraft blades whirring during takeoff,0.8877567
Ice cream truck melody playing down a suburban street,Ice cream truck melody running down a suburban boulevard,0.930988
Wind rustling through autumn leaves,Air current rustling across autumn fronds,0.86808836
Footsteps running on concrete in the rain,Paces running on concrete during the rain,0.86060375
Computer server room with multiple fans humming,Computer server room featuring multiple fans buzzing,0.88952434
Gentle rainfall on a tent in the wilderness,Gentle rainfall on a tent inside the wilderness,0.97150135
Airport terminal announcements and distant conversations,Airport terminal announcements and isolated conversations,0.9417393
Medieval battle with sword clangs and shield impacts,Medieval battle accompanied by sword clangs and shield impacts,0.9484738
Haunting theremin music in an empty ballroom,Haunting theremin music amidst an empty ballroom,0.92485803
Robot servos and mechanical movements,Robot servos in addition to mechanical movements,0.87615603
Propeller airplane engine starting and accelerating,Propeller airplane engine starting and accelerating,1.0
Thunderous applause in a concert hall,Thunderous applause among a concert hall,0.9662199
Bowling ball hitting pins in a bowling alley,Bowling ball hitting pins during a bowling alley,0.97518146
Squeaky door slowly opening in a dark house,Squeaky door slowly opening within a dark house,0.97329384
Dial-up internet connection sounds,Dial-up internet connection sounds,1.0
Crowded swimming pool with splashing and laughter,Crowded swimming pool with splashing coupled with hilarity,0.87640023
Antique music box playing a lullaby,Antique music box playing a lullaby,0.99999994
Chainsaw cutting through wood,Chainsaw cutting through wood,1.0
Motorcycle engine revving loudly,Motorcycle engine revving loudly,0.9999999
Blender mixing a smoothie on high speed,Blender mixing a smoothie on high speed,0.99999994
Bamboo wind chimes in a Japanese garden,Bamboo blast chimes during a Japanese garden,0.9031625
Ping pong ball bouncing on a table,Ping pong ball bouncing atop a table,0.9662943
Howling blizzard with intense wind,Howling blizzard alongside intense draft,0.88151574
Crackling campfire with people quietly talking,Crinkling fire pit together with humans quietly talking,0.8507776
Distant foghorn on a misty ocean,Distant foghorn atop a misty ocean,0.93075204
Cicadas chirping on a hot summer evening,Cicadas twittering on a hot summer evening,0.9237172
Arcade game sounds from the 1980s,Arcade game sounds from the 1980s,1.0
Babbling brook with frogs croaking,Babbling brook featuring frogs croaking,0.95930994
Wind through pine trees in a mountain forest,Air movement by way of pine trees amid a mountain forest,0.7557132
Medieval tavern with music and chatter,Medieval tavern accompanied by music and chatter,0.9660164
Industrial factory with machinery humming,Industrial factory accompanied by machinery whirring,0.82171655
Slow dripping water in a cave,Deliberate dripping water amidst a cave,0.77909714
Clock tower striking twelve at midnight,Clock tower striking twelve during midnight,0.97163093
Busy hospital emergency room ambience,Busy hospital emergency room ambience,1.0
Dog barking excitedly as someone arrives home,Dog barking excitedly as someone arrives home,1.0
Soothing meditation bowl being struck,Soothing meditation bowl being struck,0.99999994
Giant creature stomping through a forest,Giant creature stomping via a forest,0.9562226
Grandfather telling a bedtime story,Grandfather telling a bedtime story,1.0
Fireworks exploding in the distance,Fireworks exploding throughout the distance,0.95272535
Windshield wipers squeaking on rainy drive,Windshield wipers squeaking covering rainy drive,0.9411465
Bustling farmers market with vendors calling out,Bustling farmers fair plus vendors calling out,0.92443365
Old film projector clicking and whirring,Antique film projector clicking in addition to whirring,0.86304486
Bees buzzing around a flowering garden,Bees buzzing around a flowering garden,0.99999994
Alien spacecraft landing with strange emissions,Alien spacecraft landing including strange emissions,0.9709103
School bell ringing and hallway commotion,School bell ringing together with hallway commotion,0.9411853
Peaceful night crickets and occasional owl hoots,Peaceful night crickets plus infrequent owl hoots,0.9504408
Casino slot machines dinging and paying out coins,Casino slot machines dinging also paying out coins,0.9299778
Footsteps crunching through fresh snow,Foot falls crunching through fresh snow,0.9170423
Microwave oven humming and beeping,Microwave oven buzzing plus beeping,0.9096086
Distant thunder during a gentle rain shower,Distant crash throughout a gentle rainfall shower,0.838227
Creaking rocking chair on an old porch,Straining rocking chair covering an old porch,0.86601865
Church organ playing a somber hymn,Church organ playing a somber hymn,1.0
Crackling bonfire with people singing folk songs,Spitting bonfire with people singing folk songs,0.9364214
Seagulls calling over a harbor with boat bells,Seagulls calling over a harbor together with boat bells,0.96931493
Horse-drawn carriage on cobblestone streets,Horse-drawn carriage on cobblestone streets,0.99999994
Car driving through puddles after rainfall,Motor car driving through puddles after rainfall,0.9471635
Old grandfather clock ticking in a quiet room,Aged grandfather timer marking time inside a quiet room,0.7448312
Windshield wipers on high during heavy rain,Windshield wipers covering high while strong downpour,0.91094613
Glass wind chimes tinkling in a soft breeze,Glass draft chimes tinkling in a soft breeze,0.94205713
Bubbling cauldron in a witch's cabin,Bubbling cauldron among a witch's cabin,0.95435584
Peaceful country morning with roosters crowing,Peaceful country morning including roosters crowing,0.9723742
Steel drums playing a Caribbean melody,Steel drums playing a Caribbean melody,1.0000001
Water dripping in an echoing cavern,Water dripping in an echoing cavern,1.0
Fast-paced typing on a laptop keyboard,Fast-paced typing on a laptop key set,0.9097066
Crackling of a vintage vinyl record before music,Snapping of a vintage vinyl record before music,0.8883291
Baby laughing and cooing happily,Baby laughing as well as cooing happily,0.9142531
Marching band practicing in a distant field,Marching band practicing in a far-off field,0.9438856
Intense thunderstorm with close lightning strikes,Intense thunderstorm including close lightning strikes,0.97076267
Construction site with jackhammers and machinery,Construction site together with jackhammers in addition to machinery,0.8712651
Bowling ball rolling down lane and hitting pins,Bowling ball rolling down lane and hitting pins,1.0
Gentle night rain with frogs croaking,Mild night downpour accompanied by frogs croaking,0.9066674
Tennis match with grunts and ball hits,Tennis match together with grunts also ball hits,0.8413768
Dinner party with clinking glasses and chatter,Dinner party with clinking glasses and chatter,1.0
Chalk writing on an old blackboard,Chalk writing above an old blackboard,0.962519
Summer picnic with distant laughter and breeze,Summer picnic with detached amusement coupled with breeze,0.823016
Old western saloon with piano and boot steps,Timeworn western saloon featuring piano and boot steps,0.903347
Skateboarder riding on concrete with jumps,Skateboarder riding across concrete plus jumps,0.9592698
Medieval blacksmith hammering hot metal,Medieval blacksmith hammering hot metal,0.99999994
Dog panting after playing fetch in a park,Dog panting after playing fetch within a park,0.97657734
Scuba diving with breathing apparatus bubbles,Scuba diving comprising respiration apparatus bubbles,0.89378357
Winter night with wind whistling through trees,Winter night with air movement whistling through trees,0.9551795
Distant train whistle across open countryside,Secluded metro whistle across open countryside,0.83180195
Automatic sprinklers starting in a garden,Automatic sprinklers starting amidst a garden,0.8964818
Phone ringing in an empty office,Smartphone tolling among an empty work setting,0.7357781
Retro video game sounds from an arcade,Retro video game sounds from an arcade,1.0000001
Clocks ticking at different tempos in a clock shop,Clocks counting while different tempos amid a clock shop,0.8478224
Heavy rain hitting a canvas tent,Heavy precipitation hitting a canvas tent,0.93586504
Orchestra tuning before a performance,Orchestra tuning prior to a performance,0.94399023
Autumn leaves crunching underfoot,Autumn vegetation crunching underfoot,0.923019
Old cash register opening with bell ring,Timeworn cash register opening featuring bell ring,0.85675895
Elevator doors opening and closing with ding,Elevator doors opening alongside closing with ding,0.9299416
Bacon sizzling in a frying pan,Bacon sizzling during a frying pan,0.9573177
Cricket match with bat hits and crowd reactions,Cricket match together with bat hits also assembly reactions,0.7795921
Whale breaching the ocean surface with splash,Whale breaching the aquatic realm surface featuring splash,0.86419094
Space station ambient humming and beeps,Space station ambient buzzing also beeps,0.8751888
Children playing in snow with laughter,Youngsters engaging amid snow accompanied by amusement,0.7540481
Bagpipes playing a traditional Scottish tune,Bagpipes playing a traditional Scottish tune,1.0
Ballroom dance with orchestra and footsteps,Ballroom dance plus orchestra plus foot falls,0.8346988
Heartbeat gradually increasing in pace,Pulse slowly increasing amid pace,0.77048856
Wolves howling in a moonlit forest,Wolves howling within a moonlit timberland,0.9214704
Summer rainstorm approaching with distant thunder,Summer rainstorm approaching together with distant thunder,0.9673076
Monastery bells calling for prayer,Monastery bells calling for prayer,1.0
Crystal glasses clinking in a toast,Crystal glasses clinking among a toast,0.93842494
Tennis ball machine firing balls repeatedly,Tennis ball appliance firing balls repeatedly,0.9559449
Vinyl record needle drop with initial crackle,Vinyl record needle drop accompanied by initial crackle,0.93197274
Old steam locomotive chugging and whistling,Old steam locomotive chugging together with whistling,0.9564016
Whispering wind through tall grass prairie,Whispering wind by way of tall grass prairie,0.930522
Fox hunt with horns and galloping horses,Fox hunt plus warning sounds in addition to galloping horses,0.7571557
Cat meowing for attention or food,Cat meowing for attention or food,1.0
Electric bass guitar playing a funky riff,Electric bass guitar working a funky riff,0.97484046
Walking through deep snow with squeaky footsteps,Walking amidst deep snow with squeaky footsteps,0.93538934
Sci-fi computer terminal with typing and beeps,Sci-fi processor terminal plus typing and beeps,0.9427779
Quill pen scratching on parchment,Quill pen scratching atop parchment,0.8344269
Distant siren gradually getting closer,Detached siren progressively getting closer,0.82731533
Office environment with typing and phone calls,Business space environment comprising typing in addition to phone calls,0.7647482
Fantasy tavern with bards playing and patrons talking,Fantasy tavern with bards running and patrons talking,0.98395234
Ice cracking on a frozen lake,Ice cracking atop a frozen lake,0.9260253
Small stream bubbling over rocks in a meadow,Small rivulet bubbling over rocks in a meadow,0.9305748
Basketball bouncing on court with squeaking shoes,Basketball bouncing covering court plus squeaking shoes,0.86737144
Gentle ocean waves at night with distant lighthouse foghorn,Delicate waters surf amid night comprising far-off lighthouse foghorn,0.8359062
Crackling campfire with storyteller speaking softly,Popping fire pit alongside storyteller speaking softly,0.8292555
Medieval jousting tournament with crowd cheers,Medieval jousting tournament including gathering cheers,0.9423059
Purring cat sleeping on a windowsill during rain,Purring cat sleeping above a windowsill amid rain,0.93844223
Desert wind blowing sand against tent canvas,Desert air movement blowing sand against tent canvas,0.944323
Chopping vegetables on a wooden cutting board,Chopping vegetables on a wooden cutting board,1.0
Carousel music at an amusement park,Carousel music at an amusement park,0.9999999
Retro pinball machine with flippers and bells,Retro pinball gadget with flippers as well as bells,0.9209044
Whispering voices in an ancient tomb,Whispering voices in an ancient tomb,0.99999994
Horse-drawn sleigh with bells in snow,Horse-drawn sleigh with bells in snow,1.0
Group meditation with synchronized breathing,Group meditation including synchronized respiration,0.9317466
Old movie projector clicking with film soundtrack,Ancient movie projector clicking with film soundtrack,0.94447434
Gentle wind through bamboo forest,Mild zephyr along bamboo forest,0.6972972
Electric guitar amplifier feedback and distortion,Electric guitar amplifier feedback alongside distortion,0.7351799
Snowy night with distant wolf howls,Snowy night together with distant wolf howls,0.9775647
Analog synthesizer creating ambient soundscape,Analog synthesizer creating ambient soundscape,0.9999998
Morning birds at dawn in springtime,Morning flyers at dawn during springtime,0.89864635
Helicopter search and rescue operation,Rotary aircraft search and rescue operation,0.8057008
Pool balls colliding during a game,Pool balls colliding during a game,1.0
Vintage radio tuning between stations,Vintage radio tuning between stations,1.0
Rain hitting large tropical leaves in jungle,Drizzle hitting large tropical fronds within jungle,0.7887523
Sharpening a knife on a whetstone,Sharpening a knife on a whetstone,0.9999999
Child splashing in puddles with rubber boots,Child splashing amidst puddles with rubber boots,0.9460551
Busy shopping mall during holiday season,Frantic shopping mall in the course of holiday season,0.72484064
Sailboat with flapping sails and water against hull,Sailboat including flapping sails and water against hull,0.95583135
Haunted mansion with creaking floors and distant moans,Haunted mansion comprising creaking floors also detached moans,0.8813137
Analog alarm clock ticking and ringing,Analog alarm timer tocking and ringing,0.9177627
Cat purring while kneading a soft blanket,Cat purring while kneading a soft blanket,1.0000001
Rustling paper as pages turn in book,Crackling paper as pages turn inside book,0.8528585
Busy highway traffic from distance,Lively highway automobiles from distance,0.725941
Blacksmith hammering red-hot metal on anvil,Blacksmith hammering red-hot metal over anvil,0.9808939
Crackling electricity in a mad scientist lab,Sparking electricity amidst a mad scientist lab,0.8141513
Horse trotting on cobblestone street,Horse trotting over cobblestone street,0.95745206
Rowdy sports bar during a big game,Rowdy sports bar in the course of a big game,0.90523124
Children opening presents with excitement,Children opening presents together with excitement,0.96240133
Freight train passing by with horn blasts,Freight metro passing by comprising horn blasts,0.87051475
Footsteps on gravel path in quiet garden,Steps on gravel path in faint garden,0.8833112
Roller coaster with screams and mechanical sounds,Roller coaster with screams also mechanical sounds,0.94914156
Windmill creaking as blades turn in strong wind,Windmill grating as blades turn inside strong breeze,0.88545126
Old western town with distant piano music,Archaic western town together with distant piano music,0.8256629
Ambient hum of a submarine interior,Ambient hum of a submarine interior,1.0
Cuckoo clock striking the hour,Cuckoo clock striking the hour,0.9999998
Soccer match with referee whistle and crowd,Soccer match featuring referee whistle and crowd,0.96437263
Wind howling through abandoned building,Air current howling through abandoned building,0.9044757
Busy restaurant kitchen during service,Busy eatery kitchen for the duration of service,0.8141366
Forest creatures at night with owl hoots,Arboretum creatures at night with owl hoots,0.93051213
Orchestra performing classical symphony,Orchestra performing classical symphony,0.9999999
Pouring rain on a car roof while driving,Pouring rain against a car roof while driving,0.9722189
Traditional Native American drum circle,Traditional Native American drum circle,1.0
Old phonograph playing scratchy jazz record,Ancient phonograph playing scratchy jazz record,0.9633988
Rocket countdown and powerful launch,Rocket countdown and powerful launch,1.0
Monks chanting in a stone monastery,Monks chanting amidst a stone monastery,0.95294076
Crackling campfire with ghost stories,Crackling bonfire together with ghost stories,0.9355202
Dinner table conversation with family,Dinner table exchange featuring family,0.873752
Bicycle bell ringing on busy bike path,Bicycle bell ringing across bustling bike path,0.9271207
Water boiling in a kettle whistling,Water boiling within a kettle whistling,0.9606166
Rhythmic printing press in operation,Rhythmic printing press in operation,0.99999994
Mountain stream with occasional fish jumps,Mountain brook including infrequent fish jumps,0.8667402
Playground swings creaking back and forth,Playground swings squeaking back also forth,0.880234
Typing on old mechanical typewriter,Typing across old mechanical typewriter,0.9284934
Ice skates carving across frozen pond,Ice skates carving across frozen pond,1.0
Blacksmith hammering and quenching hot metal,Blacksmith hammering as well as quenching hot metal,0.93662393
Baby giggling during peek-a-boo game,Baby giggling amid peek-a-boo game,0.9601578
Geese honking as they fly overhead,Geese honking as they fly overhead,0.99999994
Old film projector running in cinema,Old film projector sprinting amid cinema,0.8782145
Cave with water droplets and distant echoes,Cave together with water droplets in addition to distant echoes,0.8283633
Cash register drawer opening with bell,Cash register drawer opening with bell,1.0
Ancient temple with wind through stone corridors,Ancient temple with draft amidst stone corridors,0.84820557
Helicopter hovering overhead,Copter hovering up high,0.8221344
Whale songs in deep ocean,Whale songs in bottomless briny deep,0.78660285
Wind chimes in gentle summer breeze,Draft chimes during soothing summer breeze,0.8549075
Busy fish market with vendors calling,Lively fish exchange together with vendors calling,0.72694755
Analog synthesizer creating sci-fi atmosphere,Analog synthesizer creating sci-fi atmosphere,1.0000002
Walking through dense forest undergrowth,Walking by way of dense copse undergrowth,0.8522384
Stadium crowd doing the wave at sporting event,Stadium crowd doing the wave at sporting event,1.0
Crackling logs in stone fireplace during winter,Sizzling logs amid stone fireplace for the duration of winter,0.8318846
Subway train arriving at station with announcement,Subway metro arriving amid station with announcement,0.88622636
Antique pocket watch ticking mechanism,Antique pocket watch ticking mechanism,1.0
Cat purring and kneading on blanket,Cat purring alongside kneading across blanket,0.90854263
Basketball game with squeaking shoes and bouncing ball,Basketball game with squeaking shoes together with bouncing ball,0.94763976
Wind rushing through canyon walls,Breeze rushing across canyon walls,0.84005195
Old fashioned typewriter with bell at end of line,Antique fashioned typewriter plus bell for end of line,0.8763689
Beehive buzzing with activity,Beehive humming including activity,0.8396491
Grandfather clock pendulum swinging,Grandfather chronometer pendulum swinging,0.94541395
Marching band playing in parade,Marching band engaging in parade,0.93669343
Bowling alley ambient sounds,Bowling alley ambient sounds,1.0
Birds taking flight suddenly from trees,Ornithes taking flight suddenly from trees,0.7945224
Video arcade from the 1980s,Video arcade from the 1980s,1.0
Horse galloping across open field,Horse galloping across open field,1.0000001
Rain on windshield with wipers running,Rain atop windshield plus wipers jogging,0.7173687
Electric guitar with heavy distortion solo,Electric guitar with heavy distortion solo,1.0
Bonfire crackling at beach party,Bonfire popping in the course of beach party,0.75565577
Heavy footsteps in empty hallway at night,Heavy footsteps during empty hallway amid night,0.9169377
Carnival merry-go-round music and laughter,Carnival merry-go-round music and laughter,0.99999994
Fox barking in moonlit forest,Fox barking amid moonlit woods,0.93791497
Helicopter rescue operation in mountains,Copter rescue operation amid mountains,0.87493694
Chopping wood for winter fireplace,Chopping wood for winter fireplace,1.0000001
Tennis match with grunts and ball hits,Tennis match with grunts and ball hits,0.9999999
Haunted house with ghostly whispers,Haunted home featuring ghostly whispers,0.926667
Old west saloon piano playing ragtime,Aged west saloon piano playing ragtime,0.9454398
Sand timer with grains falling slowly,Sand timer together with grains falling slowly,0.9549529
Bubbling scientific experiment in laboratory,Bubbling scientific experiment in laboratory,1.0
Bat echolocation sounds in cave,Bat echolocation sounds during cave,0.9602891
Monks chanting in Tibetan monastery,Monks chanting in Tibetan monastery,0.9999999
Vinyl record crackle before jazz music,Vinyl record crackle before jazz music,1.0
Soccer stadium with chanting fans,Soccer stadium together with chanting fans,0.95178217
Thunderstorm with heavy rain on roof,Thunderstorm together with prominent downpour covering covering,0.79636055
Ice cracking on frozen lake in spring,Ice cracking on frozen lake throughout spring,0.9524706
Cash register ringing up sales,Cash register bonging up sales,0.82635295
Heart monitor beeping in hospital room,Heart monitor beeping within hospital room,0.96669567
Howling blizzard around mountain cabin,Howling blizzard around mountain cabin,1.0
Frying eggs on hot skillet,Frying eggs covering hot skillet,0.9189843
Bowling ball rolling down lane and hitting pins,Bowling ball rolling down lane coupled with hitting pins,0.9604173
Traditional Japanese tea ceremony,Traditional Japanese tea ceremony,1.0
Horse-drawn carriage on country road,Horse-drawn carriage on country road,0.99999994
Bubbling creek with birds chirping,Bubbling creek alongside ornithes chirping,0.8657644
Mechanical pocket watch ticking,Mechanical pocket watch tocking,0.86091405
Ancient stone door grinding open,Ancient stone door grinding open,1.0
Coffee percolator bubbling on stove,Coffee percolator bubbling over stove,0.9673226
Ambient sounds of tropical rainforest,Ambient sounds of tropical rainforest,1.0
Phone ringing in empty office building,Smartphone ringing in empty office edifice,0.7610235
Crackling fire with storyteller speaking,Crinkling fire with storyteller speaking,0.9174967
Orchestra tuning instruments before concert,Orchestra tuning instruments in advance of concert,0.8923283
Dog barking at mailman approaching,Dog barking in the course of mailman approaching,0.875039
Popcorn popping in kettle,Popcorn popping in kettle,1.0
Drawbridge mechanism raising with chains,Drawbridge mechanism raising with chains,1.0
Morning in countryside with rooster crowing,Morning in countryside with rooster crowing,1.0
Theremin playing eerie melody,Theremin frolicking eerie melody,0.87275434
Indoor swimming pool echoes and splashes,Indoor swimming pool echoes coupled with splashes,0.9075203
Horses pulling stagecoach on dirt road,Horses pulling stagecoach above dirt road,0.97186655
Crackling static on old radio,Spitting static on historic radio,0.78092295
Birds chirping in spring garden,Birds chirping within spring garden,0.9717394
Thunderstorm approaching with distant rumbles,Squall approaching featuring faint rumbles,0.88117605
Blacksmith forge with hammer and bellows,Blacksmith forge with hammer as well as bellows,0.9387464
Summer rain on garden leaves,Summer shower above garden leaf cover,0.81843984
Church bells ringing across village,Church bells ringing across village,1.0000001
