prompt_id,prompt_text,category,complexity
1,A light waterway running blanketing silky pebbles surrounded by a thicket,nature,medium
2,Hectic metropolis avenue bordering conveyance warning sounds besides folk dialoguing,urban,high
3,Storm hitting blanketing a treated iron ceiling all through a thunderstorm,weather,medium
4,Clicking bonfire accompanied by rare pops combined containing hisses,nature,low
5,Zephyr song tubes vibrating throughout a light gust covering a porch,ambient,low
6,Waves slamming resting on a craggy seaboard in the midst of gloaming,nature,medium
7,Musicians tuning up ahead of a classical performance,music,high
8,Juveniles playing enclosed in a play yard comprising mirth plus screams,human,medium
9,Squeaking timber floor surface for the duration of an old neglected structure,horror,medium
10,Helicopter flying higher than ground bit by bit disappearing moving toward remoteness,mechanical,medium
11,Feathered creatures warbling surrounded by a spring morning garden,nature,medium
12,Java home atmosphere combined including quiet discussions not to mention espresso contrivance,social,medium
13,Word processor key levers rattling quickly accompanied by occasional bell ring,mechanical,medium
14,"Thunderclap booming across the faraway, gradually nearing",weather,medium
15,Tomcat thrumming at the time that dozing across a window edge,animals,low
16,Granules breaking below foot onto a dry terrain walk,nature,low
17,Draft crying all through a constricted hill route,weather,medium
18,Submarine ping system signals between profound sea habitat briny deep,mechanical,medium
19,Folios of a text being slowly progressed amid a silent archives,ambient,low
20,Ballpark throng yelling subsequent to a objective or score,social,high
21,Glass breaking as deep it hits a hard floor,effects,low
22,Grandfather timer sounding along with chiming for midnight,mechanical,medium
23,Rain forestland ambience plus exotic bird calls next to insects at dawn,nature,high
24,Teeming food venue possessing dishes clattering and particularly background chatter,social,high
25,Horse galloping extending along an open field,animals,medium
26,Spaceship powerplant buzzing at warm a constant frequency,sci-fi,medium
27,Metro mellow passing by featuring whistle blowing,transportation,medium
28,Saxophone solo amid a smoky jazz club,music,medium
29,Whispering voices amid an empty corridor,horror,medium
30,Sparking radio static possessing intermittent voice fragments,communication,medium
31,Bubbling brook featuring feathered creatures twittering over the course of background,nature,medium
32,Whale song echoing spanning waters depths,animals,medium
33,Laser gun battle including energy weapons firing,sci-fi,high
34,Heartbeat monitor beeping steadily between hospital room,medical,low
35,Unstable pine ship rocking atop soft swells,historical,medium
36,Howling wolf in a moonlit forestland,animals,medium
37,Typing covering a mechanical key mellow interface plus clicky switches,technology,low
38,Historic vinyl record adjacent to crinkling and snaps,vintage,low
39,Sizzling food over a hot grill or pan,cooking,low
40,deep Church bells resounding within a faint village,cultural,medium
41,Sunrise danger signal horologe clanging persistently,everyday,low
42,Rotary aircraft blades whirring distant during takeoff,transportation,medium
43,Ice cream bright truck melody running down a suburban boulevard,nostalgic,medium
44,Air current rustling over autumn fronds after rainfall,nature,medium
45,Paces running resting on concrete during the rain,action,medium
46,Computer server room featuring multiple fans resonant buzzing,technology,medium
47,Gentle rainfall on a tent inside the wilderness at dawn,nature,medium
48,resonant Airport terminal announcements and isolated conversations,travel,high
49,Medieval battle plus sword clangs and shield impacts,historical,high
50,Haunting theremin music clear amidst an empty ballroom,eerie,medium
51,Robot servos besides mechanical movements,sci-fi,medium
52,Propeller rich airplane engine starting and accelerating,transportation,medium
53,Thunderous applause amidst a gig hall,social,medium
54,Bowling ball drumming pins during a bowling alley,sports,medium
55,Squeaky door unhurriedly opening amid a dark home,horror,low
56,Dial up internet connection sounds,nostalgic,medium
57,Crowded swimming pool with splashing coupled possessing hilarity,social,medium
58,Antique bright music box playing a lullaby,vintage,medium
59,Chainsaw sharp cutting through wood,tools,medium
60,Motorcycle sharp engine revving loudly,transportation,medium
61,Blender mixing a smoothie resting on high speed,everyday,low
62,Bamboo blast chimes during a Japanese garden patch,cultural,low
63,warm Ping pong ball bouncing atop a table,sports,low
64,Howling blizzard alongside sharp intense draft,weather,medium
65,Crinkling combustion pit plus humans quietly talking,social,medium
66,warm Distant foghorn atop a misty ocean,nautical,medium
67,"During autumn, cicadas twittering upon a hot summer evening",nature,medium
68,Arcade distant game sounds from the 1980s,nostalgic,medium
69,Babbling brook featuring frogs croaking on a summer day,nature,medium
70,Air movement by way of pine trees amidst a summit grove,nature,medium
71,Medieval tavern and music and chatter,historical,high
72,Industrial factory along comprising machinery whirring,industrial,high
73,"On a summer day, deliberate dripping water amidst a cave",nature,low
74,Clock rich tower striking twelve during midnight,ambient,medium
75,Bustling hospital emergency room mood,medical,high
76,Dog barking excitedly distant as someone arrives home,animals,low
77,Soothing sharp meditation bowl being struck,spiritual,low
78,Giant creature stomping via distant a forest,fantasy,medium
79,Grandfather telling a bedtime clear story,human,medium
80,Fireworks exploding across the distance,celebration,medium
81,distant Windshield wipers squeaking covering rainy drive,transportation,low
82,Bustling precisely farmers fair plus vendors calling out,social,high
83,Antique film projector clicking plus whirring,vintage,medium
84,Bees buzzing around a flowering greenery,nature,medium
85,Alien particularly spacecraft landing featuring strange emissions,sci-fi,high
86,School ringer ringing combined featuring hallway commotion,everyday,medium
87,bright Peaceful night crickets plus infrequent owl hoots,nature,medium
88,Casino slot machines dinging also paying particularly out coins,entertainment,high
89,Foot falls crushing through fresh snow,weather,low
90,Microwave oven buzzing warm plus beeping,everyday,low
91,Distant crash for the duration of a gentle rainfall shower,weather,medium
92,Straining rocking chair covering an historical deck,nostalgic,low
93,bright Church organ playing a somber hymn,spiritual,medium
94,Spitting bonfire accompanied by people singing folk songs,social,medium
95,Seagulls calling shrouding a harbor alongside boat bells,nautical,medium
96,Horse drawn carriage against cobblestone streets,historical,medium
97,Motor car driving through puddles following rainfall,transportation,medium
98,Aged grandfather timer deep marking time inside a quiet room,vintage,low
99,Windshield wipers covering high in the process of strong downpour,transportation,medium
100,Glass draft bells tinkling within a soft draft,ambient,low
101,Bubbling cauldron encircled by a witch's cabin,fantasy,medium
102,Peaceful country dawn accompanied by roosters crowing,rural,medium
103,Steel drums playing a Caribbean bright melody,music,medium
104,Water dripping inside an echoing cavern at dusk,nature,medium
105,Fast paced typing against a laptop key set,technology,low
106,Breaking of a vintage vinyl record before music,vintage,low
107,Baby laughing during addition to cooing happily,human,low
108,Marching band practicing within a far off field,music,high
109,Intense thunderstorm featuring close particularly lightning strikes,weather,high
110,Construction site amidst addition to jackhammers not to remarkably mention machinery,industrial,high
111,Bowling ball rolling down lane and tapping pins,sports,medium
112,Mild night downpour incorporating frogs croaking,nature,medium
113,Tennis match along featuring grunts also ball hits,sports,medium
114,Dinner party containing clinking glasses and chatter,social,medium
115,Chalk writing covering an historical blackboard,nostalgic,low
116,Summer picnic containing detached amusement coupled containing gentle wind,social,medium
117,Timeworn western saloon rich featuring piano and boot steps,historical,medium
118,Skateboarder riding over concrete plus jumps,sports,medium
119,Medieval blacksmith hammering hot tin,historical,medium
120,Dog panting behind playing fetch enclosed in a park,animals,low
121,Scuba diving comprising respiration apparatus clear bubbles,adventure,medium
122,Winter night including air movement whistling through trees,weather,medium
123,Secluded metro whistle over open countryside,transportation,medium
124,Automatic sprinklers starting amidst sharp a garden,everyday,low
125,Smartphone tolling between an empty work setting,ambient,low
126,Retro video game sounds distant from an arcade,nostalgic,medium
127,Clocks counting during different tempos within a clock shop,ambient,medium
128,Heavy precipitation drumming a canvas tent,weather,medium
129,Musical clearly group tuning preceding a performance,music,high
130,Autumn vegetation grinding beneath one's steps on a summer day,nature,low
131,Timeworn cash register opening featuring dinger ring,vintage,low
132,Elevator doors opening flanking closing with ding,everyday,low
133,Bacon sizzling during a frying mellow pan,cooking,low
134,Cricket match along possessing bat hits also assembly reactions,sports,medium
135,Whale breaching bright the aquatic realm surface featuring splash,animals,medium
136,Space station ambient buzzing also distant beeps,sci-fi,medium
137,Youngsters interacting within snow containing amusement,human,medium
138,Bagpipes resonant playing a traditional Scottish tune,cultural,medium
139,Ballroom dance plus musicians plus foot falls,social,high
140,Pulse leisurely increasing amidst pace,medical,low
141,Wolves screaming in a moonlit timberland,animals,medium
142,Summer rainstorm drawing near plus distant thundering,weather,medium
143,Monastery bells calling resonant for prayer,spiritual,medium
144,Crystal glasses clinking among a subtle toast,celebration,low
145,Tennis deep ball appliance firing balls repeatedly,sports,medium
146,Vinyl record needle drop along featuring initial crackle,vintage,low
147,Antique steam locomotive chugging flanking whistling,transportation,medium
148,Whispering wind by way distant of tall grass prairie,nature,medium
149,Fox hunt profoundly plus warning sounds plus galloping horses,historical,high
150,subtle Cat meowing for attention or food,animals,low
151,Electric bass deep guitar working a funky riff,music,medium
152,Walking amidst deep snow containing squeaky footsteps,weather,low
153,Sci fi processor terminal plus typing and beeps,sci-fi,medium
154,Quill pen scratching atop subtle parchment,historical,low
155,Detached siren sharp progressively getting closer,emergency,medium
156,Business space environment comprising typing plus phone calls,workplace,medium
157,Fantasy tavern containing bards running and patrons talking,fantasy,high
158,Ice subtle cracking atop a frozen lake,nature,medium
159,Small rivulet bubbling over rocks in distant a meadow,nature,medium
160,Basketball bouncing covering court bright plus squeaking shoes,sports,medium
161,Delicate liquid surf amid night comprising far off lighthouse foghorn,nautical,medium
162,Popping inferno pit next to storyteller speaking softly,social,medium
163,Medieval jousting tournament containing gathering cheers,historical,high
164,Droning tabby slumbering above a window edge in the middle of rain,animals,medium
165,Wasteland air movement blowing granules against tent canvas,nature,medium
166,Chopping vegetables over a oak cutting board,cooking,low
167,Carousel music at sharp an amusement park,entertainment,medium
168,Retro pinball gadget including flippers and bells,nostalgic,medium
169,Whispering voices amid an ancient tomb,horror,medium
170,Horse drawn sleigh comprising bells inside snow,historical,medium
171,Group meditation accompanied by synchronized respiration,spiritual,medium
172,Ancient movie projector clicking containing film soundtrack,vintage,medium
173,"Beneath starlight, mild zephyr along bamboo forestland",nature,medium
174,Electric guitar amplifier feedback beside distortion,music,medium
175,Snowy night throughout addition to distant wolf howls,nature,medium
176,Analog synthesizer creating ambient deep soundscape,electronic,medium
177,Morning flyers at dawn during springtime on a foggy day,nature,medium
178,Rotary deep aircraft search and rescue operation,emergency,high
179,Pool balls pounding during a game,sports,medium
180,Vintage radio warm tuning between stations,vintage,medium
181,"On a foggy day, drizzle pounding large tropical fronds inside jungle",nature,medium
182,Sharpening a knife against a whetstone,everyday,low
183,Child splashing amidst puddles containing rubber boots,human,low
184,Frantic shopping mall in the midst particularly of holiday season,social,high
185,Sailboat containing flapping sails and water against hull,nautical,medium
186,Haunted mansion comprising whining flooring also detached moans,horror,medium
187,mellow Analog alarm timer tocking and ringing,everyday,low
188,Cat vibrating during kneading a soft blanket,animals,low
189,Crackling paper as folios turn inside manuscript,ambient,low
190,"Amidst skyscrapers, lively highway automobiles from remoteness",urban,medium
191,Blacksmith hammering red hot aluminum on top of anvil,historical,medium
192,Sparking electricity amidst subtle a mad scientist lab,sci-fi,medium
193,Horse trotting blanketing cobblestone street,historical,medium
194,Rowdy sports bar encircled by profoundly a big game,social,high
195,Children opening presents plus excitement,celebration,medium
196,Freight metro passing by comprising horn distant blasts,transportation,medium
197,Steps over gravel path amidst faint backyard,ambient,low
198,Roller coaster comprising screams also mechanical sounds,entertainment,high
199,Windmill grating as mellow blades turn inside strong breeze,rural,medium
200,Archaic western town beside distant piano music,historical,medium
201,clear Ambient hum of a submarine interior,transportation,medium
202,Cuckoo clock deep striking the hour,vintage,medium
203,Soccer match clearly featuring referee whistle and crowd,sports,high
204,Air current moaning through abandoned building,horror,medium
205,Crowded eatery vividly kitchen for the duration of service,workplace,high
206,Arboretum creatures at night accompanied by owl hoots during autumn,nature,medium
207,Orchestra impressively performing classical symphony,music,high
208,Pouring rain against a car shelter at the time that driving,weather,medium
209,Traditional Native warm American drum circle,cultural,medium
210,Ancient phonograph playing scratchy distant jazz record,vintage,medium
211,Rocket unmistakably countdown and powerful launch,sci-fi,high
212,Monks chanting amidst bright a stone monastery,spiritual,medium
213,Crackling bonfire along possessing ghost stories,horror,medium
214,Dinner table exchange featuring resonant family,social,medium
215,Bicycle jingle ringing spreading over bustling bike path,transportation,low
216,Water boiling in a kettle whistling,everyday,low
217,Rhythmic printing press during operation,industrial,medium
218,Elevation brook including infrequent fish jumps,nature,medium
219,Playground swings squeaking warm back also forth,nostalgic,low
220,Typing across historical mechanical typing apparatus,vintage,medium
221,Ice skates carving extending along frozen pond,sports,medium
222,Blacksmith hammering and quenching hot iron,historical,medium
223,Baby giggling encircled by peek a boo game,human,low
224,Geese honking as they fly distant overhead,animals,medium
225,Vintage film projector sprinting within cinema,vintage,medium
226,"During a misty morning, cave combined featuring water droplets furthermore with distant echoes",nature,medium
227,Cash register drawer opening accompanied by dinger,vintage,low
228,Ancient temple containing draft amidst stone corridors,historical,medium
229,Copter clear hovering up high,transportation,medium
230,bright Whale songs in bottomless briny deep,animals,medium
231,Draft carillons during soothing summer draft,ambient,low
232,Lively fish noticeably exchange besides vendors calling,social,high
233,Analog synthesizer creating sci fi atmosphere,electronic,medium
234,Walking by way of dense copse undergrowth during autumn,nature,medium
235,Stadium crowd especially doing the wave at sporting event,social,high
236,Sizzling logs among stone fireplace for the duration of winter,ambient,medium
237,Subway metro arriving among station comprising announcement,transportation,medium
238,Antique pocket watch ticking rich mechanism,vintage,low
239,Tabby buzzing bordering kneading covering blanket,animals,low
240,Basketball game comprising squeaking shoes not to mention bouncing ball,sports,medium
241,"During sunrise, air current rushing spreading over canyon walls",nature,medium
242,Antique fashioned mechanical writer plus tinkle for end of line,vintage,medium
243,Beehive clear humming including activity,nature,medium
244,Grandfather bright chronometer pendulum swinging,vintage,low
245,Marching band cavorting amid parade,music,high
246,Bowling unmistakably alley ambient sounds,sports,high
247,"On a foggy day, ornithes taking flight suddenly from trees",nature,medium
248,Video remarkably arcade from the 1980s,nostalgic,high
249,Horse galloping spanning open field,animals,medium
250,Rain atop windshield plus subtle wipers jogging,transportation,medium
251,Electric guitar accompanied by heavy distortion solo,music,medium
252,Bonfire popping during beach party,social,medium
253,Heavy footsteps during empty hallway among night,horror,medium
254,Carnival precisely merry go round music and guffaws,entertainment,high
255,Fox barking within moonlit woods,animals,medium
256,Copter sharp rescue operation amid mountains,emergency,high
257,Chopping wood for winter rich fireplace,rural,medium
258,Tennis match featuring grunts and ball hits,sports,medium
259,Haunted home bright featuring ghostly whispers,horror,medium
260,Aged west saloon sharp piano playing ragtime,historical,medium
261,Sediment timer not to mention grains falling slowly,ambient,low
262,Bubbling scientific experiment amid laboratory,sci-fi,medium
263,Bat echolocation sounds resonant during cave,animals,medium
264,Monks chanting resonant in Tibetan monastery,spiritual,medium
265,Vinyl record crackle warm before jazz music,vintage,medium
266,Soccer distinctly amphitheater plus chanting fans,sports,high
267,Thunderstorm adjacent to vividly prominent downpour covering,weather,high
268,Ice cracking against frozen lake throughout season of renewal,nature,medium
269,Cash register clear bonging up sales,vintage,low
270,Heart monitor beeping in hospital room,medical,low
271,Shrieking blizzard noticeably around elevation cabin,weather,high
272,Frying bright eggs covering hot skillet,cooking,low
273,Bowling ball rolling down lane coupled containing pounding pins,sports,medium
274,Traditional Japanese mellow tea ceremony,cultural,medium
275,Horse drawn carriage upon country road,historical,medium
276,Bubbling brook beside ornithes chirping,nature,medium
277,Mechanical warm pocket watch tocking,vintage,low
278,sharp Ancient stone door grinding open,fantasy,medium
279,Coffee percolator bubbling above stove,cooking,low
280,Ambient sounds especially of tropical rainforest,nature,high
281,Smartphone ringing amidst empty office edifice,ambient,low
282,Crinkling combustion comprising storyteller speaking,social,medium
283,Symphony tuning instruments amidst advance profoundly of recital,music,high
284,Dog barking across mailman nearing,animals,low
285,Popcorn popping throughout kettle,cooking,low
286,Drawbridge mechanism raising comprising chains,mechanical,medium
287,Dawn throughout countryside with rooster crowing,rural,medium
288,Theremin frolicking mellow eerie melody,electronic,medium
289,Indoor swimming pool echoes coupled including splashes,sports,medium
290,Horses pulling stagecoach over dirt road,historical,medium
291,Spitting static against historic radio,vintage,medium
292,Birds chirping inside budding season flower bed,nature,medium
293,Squall drawing near featuring faint rumbles,weather,medium
294,Blacksmith forge including hammer not to mention bellows,historical,medium
295,Summer shower over garden patch leaf cover,weather,medium
296,Church bells ringing spreading over village,cultural,medium
297,Carousel music during night carnival,entertainment,medium
298,Casino slot machines besides ambient chatter,entertainment,high
299,Tabby thrumming by clicking fireplace,animals,medium
300,Chainsaw cutting subtle through fallen tree,tools,medium
301,Chalk writing shrouding blackboard amidst noiseless classroom,nostalgic,low
302,Champagne cork popping rich at celebration,celebration,low
303,Minors jumping amidst pile of autumn foliage,nostalgic,medium
304,Christmas early hours plus paper unwrapping,celebration,medium
305,Cicadas warbling on hot summer evening during a misty morning,nature,medium
306,Circus performance parallel to crowd reactions,entertainment,high
307,Classical string quartet all through marble hall,music,medium
308,Classroom plus teacher distant and student interactions,social,medium
309,Timer tower striking noon blanketing municipality square,urban,medium
310,Closing iron vault door comprising echo,mechanical,medium
311,Caf ambient noise possessing espresso appliance,social,medium
312,Cold winter wind whistling through deep bare trees,weather,medium
313,Processor server room parallel to fans alongside hard drives,technology,medium
314,Musical event hall audience applauding,social,medium
315,Construction site along including jackhammer especially coupled containing crane,industrial,high
316,Cooking bacon amidst cast mellow iron skillet,cooking,low
317,Coral reef underwater containing bubbles plus fish,nature,medium
318,Corks popping during wine bright tasting event,celebration,medium
319,"On a foggy day, country waterway comprising frogs coupled featuring crickets",nature,medium
320,Cow mooing amidst barn comprising hay swishing,rural,low
321,Crackling campfire plus owl hooting in winter,nature,medium
322,Crackling ice among mellow glass of whiskey,ambient,low
323,Squealing door inside neglected mansion,horror,low
324,Grating floor surface amid archaic Victorian habitat,horror,low
325,Creaking rocking chair shrouding hardwood deck,nostalgic,low
326,Cricket match next to bat hits amidst addition to commentary,sports,medium
327,Crickets calling above summer evening,nature,low
328,Assembly distinctly applauding for football six points,sports,high
329,Crowd murmuring during advance of theater performance,social,medium
330,sharp Crying baby steadily calming down,human,medium
331,Crystal glasses clinking amid toast,celebration,low
332,Cuckoo horologe announcing rich noon,vintage,low
333,Dance club featuring clearly electronic music besides crowd,social,high
334,Strong space ambient parallel to rare transmission,sci-fi,medium
335,"At daybreak, dry terrain wind amidst canyon with hawk cry",nature,medium
336,Dice rolling covering maple table amidst game,entertainment,low
337,Diesel railway engine idling sharp when station,transportation,medium
338,Digital siren bright timekeeping device beeping persistently,everyday,low
339,Dining hall containing silverware and conversation,social,medium
340,Dinner party along comprising guffaws in addition to glasses clinking,social,medium
341,Detached ambulance siren advancing,emergency,medium
342,Distant avalanche within mountain range in early morning,nature,high
343,Faint carnival sounds spanning night field,entertainment,medium
344,Isolated church bells against Sunday daybreak,cultural,medium
345,Faint factory whistle rich signaling end of shift,industrial,medium
346,clear Distant fireworks covering fourth of July,celebration,medium
347,Distant foghorn against misty harbor,nautical,medium
348,Far off particularly gunfire atop battlefield,historical,high
349,Remote helo moving toward progressively,transportation,medium
350,Isolated rumble over the course of faint rain,weather,medium
351,Distant train whistle spanning prairie,transportation,medium
352,"At dawn, precisely remote volcano booming earlier than eruption",nature,high
353,Diving moving to swimming pool parallel to underwater sounds,sports,medium
354,Dog distant barking excitedly at squirrel,animals,low
355,Dog panting post sharp performing fetch,animals,low
356,Dog shaking water off after distant swimming,animals,low
357,Dogs playing in addition to wrestling covering grass,animals,medium
358,Dolphins clicking and whistling bright underwater,animals,medium
359,Door cracking open contained in haunted dwelling,horror,low
360,Drawbridge mechanisms raising warm plus chains,mechanical,medium
361,Dripping faucet throughout still bathroom,everyday,low
362,"In early morning, dripping water inside cave including echoes",nature,medium
363,Drone of airplane engines whilst experiencing flight,transportation,medium
364,Dropping ice cubes advancing to glass,everyday,low
365,Drum circle within public park,music,medium
366,Drumming fingers covering maple table,human,low
367,Duck quacking across pond edge,animals,low
368,Ducks landing covering pond comprising water splashes,animals,medium
369,warm Electric fan oscillating during muted room,everyday,low
370,Electric guitar becoming tuned,music,low
371,Electric saw cutting resonant wood,tools,medium
372,deep Electric shaver buzzing,everyday,low
373,distant Electric toothbrush sprinting,everyday,low
374,Electronic subtle cash register scanning items,everyday,low
375,Electronic door lock including keypad beeps,technology,low
376,Electronic music including synthetic beats,music,medium
377,Elevator arriving featuring gong also doors opening,everyday,low
378,clear Elevator music in department store,ambient,low
379,Empty show hall featuring remote piano notes,ambient,medium
380,Empty play space swings squealing amidst zephyr,eerie,medium
381,Engine impressively room of large ship at sea,transportation,high
382,distant Espresso device steaming milk,cooking,low
383,Evening cicadas coupled containing crickets inside summer,nature,medium
384,Excited dog greeting sharp returning owner,animals,medium
385,Explosive thunderclap throughout the midst of deluge,weather,medium
386,Factory assembly unmistakably line featuring conveyor belt,industrial,high
387,Falling raindrops on window pane,weather,low
388,Farm animals resonant waking when dawn,rural,medium
389,"Beneath starlight, quick passing channel enclosed in peak gorge",nature,medium
390,Fast paced footsteps running stretching across pavement,action,medium
391,Fax contrivance sending bright document,vintage,medium
392,Ferris wheel during bright night carnival,entertainment,medium
393,Field of wheat crinkling in the midst of zephyr after rainfall,nature,medium
394,Film projector running amid empty theater,vintage,medium
395,Finale of fireworks warm display,celebration,high
396,Blaze warning clanging in the midst of establishment,emergency,medium
397,Inferno truck siren getting nearer emergency,emergency,medium
398,Fireplace fizzing over winter evening,ambient,medium
399,Fireworks exploding amid celebration,celebration,medium
400,Fish tank bubbler coupled accompanied by filter running,ambient,low
401,Fishing boat diesel subtle engine idling,nautical,medium
402,Fishing line casting bordering reel spinning,sports,low
403,Fitness class including instructor coupled including music,sports,medium
404,Fizzing soda sharp being poured into glass,everyday,low
405,Flamenco dancers featuring distant castanets alongside footwork,cultural,medium
406,Flashbulbs popping over the course of press conference,media,medium
407,Flipping deep through pages of newspaper,everyday,low
408,Flowing river plus rushing rapids after rainfall,nature,medium
409,Flute playing solo melody amidst empty sharp hall,music,medium
410,Winging insects buzzing around deck delicate under moonlight,nature,low
411,sharp Fog horn blowing amid harbor mist,nautical,medium
412,Footsteps advancing shrouding wooden floor,ambient,low
413,Paces pulverizing inside fresh snow,weather,low
414,Paces distant echoing amidst empty corridor,eerie,low
415,Steps among dry bright autumn fronds,nature,low
416,Footsteps upon gravel path amidst garden patch,ambient,low
417,Stride sounds running up oak staircase,action,low
418,Woodland following rainfall plus dripping leaves,nature,medium
419,Woodland during dusk containing owl hooting during autumn,nature,medium
420,Copse combustion crinkling through underbrush,nature,high
421,Formula 1 race sharp cars passing by,sports,high
422,Fox hunting horn spreading over autumn field,historical,medium
423,Freezer door opening containing frost cracking,everyday,low
424,French cafe featuring deep accordion music,cultural,medium
425,Frog chorus at pond edge in the midst of twilight,nature,medium
426,Frontier distant town plus horses coupled with wagon,historical,medium
427,Frying bacon throughout pan adjacent to sizzling,cooking,low
428,Funeral sharp procession plus solemn music,spiritual,medium
429,Furious downpour along with massive rain,weather,high
430,Futuristic urban area warm including soaring vehicles,sci-fi,high
431,Futuristic PC warm interface comprising beeps,sci-fi,medium
432,Galloping horse stretching across open meadow,animals,medium
433,Game deep show audience applauding answer,entertainment,medium
434,Garage door mellow opening automatically,everyday,low
435,Landscaped area party containing conversations coupled accompanied by music,social,medium
436,Gas stove burner clear igniting,everyday,low
437,sharp Geese honking during migration,animals,medium
438,Soft brook encircled by woods clearing,nature,medium
439,Tranquil maritime domain billows atop sandy beach,nature,medium
440,Gentle drizzle subtle over tent while camping,weather,medium
441,Soft rill moving across meadow in springtime,nature,medium
442,Gentle zephyr amidst pine woods during twilight,nature,medium
443,Ghost town accompanied by zephyr through empty buildings,eerie,medium
444,Glass breaking inside deliberate motion,effects,medium
445,Glass shattering upon distant hard floor,effects,low
446,Glassblower working throughout addition to molten glass,crafts,medium
447,Glasses clinking in celebration toast,celebration,low
448,sharp Grandfather timepiece striking midnight,vintage,medium
449,Grasshoppers calling throughout summer field,nature,low
450,Gravel crumbling under auto tires,transportation,low
451,Group meditation combined containing ohm chanting,spiritual,medium
452,Guitar transforming into carefully tuned,music,low
453,Gull cries covering harbor plus boat bells,nautical,medium
454,Gym workout featuring weights coupled comprising respiration,sports,medium
455,Hair dryer running atop high setting,everyday,low
456,Halloween party featuring monster rich sounds,celebration,medium
457,Hammer deep hitting nail into wood,tools,low
458,Hammock swinging featuring rope mellow moaning,ambient,low
459,sharp Hand cranked ice cream maker,vintage,low
460,Hand washing dishes during sink,everyday,low
461,Harbor containing boat blares and gulls,nautical,medium
462,Harp glissando inside gig hall,music,medium
463,Haunted distinctly home attraction plus screams,entertainment,high
464,Haunting violin solo throughout empty church,music,medium
465,Intense cloudburst pounding window panes,weather,medium
466,Prominent downpour touching canvas tent,weather,medium
467,Substantial snowfall distant with muffled municipality sounds,weather,medium
468,Heavy downpour remarkably comprising zephyr and precipitation,weather,high
469,Copter blades clear whirring overhead,transportation,medium
470,clear Hens clucking during chicken coop,rural,medium
471,High heel shoes strolling against deep marble floor,everyday,low
472,High peak zephyr along rugged peaks during twilight,nature,medium
473,High school band practicing amid yonder,music,medium
474,High distinctly school hallway between classes,social,high
